article_id,Authors,Title,Year,DOI,Abstract,Author Keywords,Index Keywords
2210,"Zhazira, Stambekova (57331588800); Abisheva, Onal (57205549964); Smanova, Akmaral (58043010600); Zoya, Rabilova (60138143600); Yelubay, Akbota (60138143700); Nurbayeva, Aidana (60137647400)",Evaluating the impact of digital tools on innovative teaching practices among future educators,2025,10.53836/ijia/2025/26/2/014,"This article explores the application of digital technologies, including the Procreate graphic program, in creative education in Kazakhstan, with a focus on the importance of teacher involvement and digital literacy. As educational practices evolve through digital transformation, it is essential to understand how these transformations impact innovative teaching practices. A quantitative, cross-sectional survey design was employed to assess these relationships among 1,432 respondents at a Kazakhstani educational institution. The results demonstrate that digital technologies significantly enhance innovative teaching practices, leading to more dynamic and interactive learning environments. Moreover, digital literacy serves as a positive moderator, enhancing the bond between digital technologies and pedagogical innovation. Teachers who possess greater digital competence are more likely to effectively incorporate available technological resources, thereby enabling more creativity in their lectures. Moreover, teacher engagement serves as a critical avenue through which the successful integration of digital tools into classrooms can lead to creative instruction. Overall, these results emphasize the crucial need to provide targeted training to develop the digital skills of educators and to continue with in-service training programs. As digital literacy emerges as a crucial skill in 21st-century education, equipping teachers with the skills to use technology effectively will allow them to fully leverage its potential to improve student learning outcomes. Moreover, this research holds significant theoretical value in understanding the adoption of digital technology, teacher engagement, and the implications of new teaching methodologies, thereby enriching the ongoing conversation about digital transformation in education. ? 2025 University of Nigeria, Institute of African Studies. All rights reserved.",digital literacy; Digital tools; educational technology; innovative teaching; Procreate graphics program; teacher engagement,
2211,"Tun?siper, Zihni (59893707000); ?anlisoy, Selim (57209413122); Aydin, üzeyir (56348807600)",Economic Transformation from Physical to Digital: A Bibliometric Analysis of the Metaverse Economy,2025,10.57019/jmv.1608255,"The metaverse is a virtual ecosystem formed by the combination of innovative technologies such as augmented reality (AR), virtual reality (VR) and blockchain, which are reshaping global trade, consumption patterns and cross-sector collaboration. This ecosystem offers a new economic structure that combines the physical and digital worlds with elements such as the appreciation of digital assets, the proliferation of NFTs and the integration of decentralised finance (DeFi) applications. This new economic structure is the subject of interest and research both in the business world and in the academic world. In this study, the data obtained from the Scopus database covering the period between 2018-2024 were analysed by bibliometric analysis method. The institutions, countries, cited studies and keyword links that produced the most works were evaluated in detail. The key findings of this study indicate that research on the metaverse economy has experienced exponential growth, with significant contributions from the United Kingdom, China, and the United States. Additionally, performance analysis reveals that blockchain, metaverse, NFT, and digital transformation are the most frequently explored topics in the academic literature. ? 2025, Izmir Academy Association. All rights reserved.",blockchain; digital transformation; metanomics; Metaverse economy; NFT; virtual reality,
2212,"Daoud, Ahmed Osama (57189998872); Kineber, Ahmed Farouk (57218115484); Ali, Ali Hassan (58147569500); Elseknidy, Mohamed (57219846580)",Empowering Sustainable Infrastructure and Sustainable Development Goals Through Industry 5.0 Implementation,2025,10.1002/sd.3347,"The transition to Industry 5.0 represents a significant transformation in the global industrial landscape, combining advanced technology with human creativity to promote sustainable development. This study investigates the potential of Industry 5.0 to advance the Sustainable Development Goals (SDGs) within sustainable infrastructure projects, addressing a critical gap in existing research concerning its practical applications and outcomes. Utilizing Partial Least Squares Structural Equation Modeling (PLS-SEM), the study analyzes data collected from 150 construction professionals in Egypt, focusing on key enablers such as digital transformation skills, eco-innovation, and proactive governmental support. The results demonstrate that these Industry 5.0 enablers significantly enhance environmental resilience, social inclusivity, and economic efficiency in infrastructure projects. The research offers a novel theoretical framework and empirical evidence on the constructive role of Industry 5.0 in achieving sustainable infrastructure outcomes, providing valuable insights for policymakers, industry stakeholders, and academic researchers. These findings highlight the potential of Industry 5.0 to drive innovation that aligns with the SDGs and fosters sustainable, human-centric development. ? 2025 ERP Environment and John Wiley & Sons Ltd.",collaborative innovation; industry 5.0; sustainable development; sustainable infrastructure projects; technological integration,Egypt; empowerment; implementation process; infrastructural development; innovation; Sustainable Development Goal; technology adoption
2213,"Shkarlet, Serhiy (36069871100); Dubyna, Maksym (56912277800); Shchur, Roman (57221913159); Shyshkina, Olena (58995081900)",THE ROLE OF CLOUD TECHNOLOGIES IN MODERN DEVELOPMENT OF BANKING INSTITUTIONS,2025,10.15330/jpnu.12.2.143-157,"The process of digitalization of the financial services sector today is due to objective reasons related to the inevitable development of digital technologies and their active implementation by banking institutions. Cloud technologies are an integral part of digital innovations that these institutions use in their activities. These technologies are in active development and adaptation to the specifics of the functioning of different financial intermediaries, in particular commercial banks. The article pays special attention to the study of using cloud technologies in the work of banking institutions, taking into account the specifics of their economic activity and their role in the development of the financial system and the national economy. For this purpose, the key characteristics of using cloud technologies are determined, and the specific features of the economic activity of commercial banks are substantiated, taking into account the possibilities of using artificial intelligence technologies. In addition, the role of cloud computing technologies in the modern development of banking institutions in the informational security system was analyzed. To understand the ambiguity of the consequences of using cloud technologies and the positive and negative consequences of their use in the work of commercial banks, the research was conducted. As a result, it is established that cloud technologies already today are already indispensable components of the development of any commercial bank. Thanks to their application using the potential of digital technologies and, in combination with the construction of effective systems, digital transformation is possible, to ensure high-level competitiveness and dynamic, regulated bank development in the conditions of digitalization of economic relationships and change of established models functioning of the financial market services. The article formulates promising directions for the use and adaptation of cloud technologies by commercial banks, taking into account their opportunities and threats. It is also determined that the gradual growth of demand from these institutions for relevant services will contribute to the emergence of new changes in the cloud services market, taking into account their capabilities to form such demand and the scale of their activities, which also determine the need to build effective information systems for their work. ? 2025, Precarpathian National University. All rights reserved.",banking institution; banking service; cloud technologies; digital technology; digitalization; financial services market,
2214,"Nam, Thang Nguyen (59983897100); Thanh, Hanh Hoang (59663665400); Thu, Thuy Do Thi (59984557200)",Using digital technology to standardize accounting information systems,2025,10.21833/ijaas.2025.07.004,"This study explores how digital technology helps to standardize accounting information systems. Using both qualitative and quantitative research methods, it examines socio-economic aspects of production, business, trade, and services. A theoretical framework is created, research hypotheses are presented, and primary data is analyzed using SPSS and AMOS software. The results show that digitalization supports the standardization of accounting systems by lowering production costs, strengthening administrative functions, improving financial performance, and increasing profits. The accounting information system is evaluated based on system scale, information processes, use of technology, and production activities. The study also highlights that for organizations to achieve long-term and stable growth through digital transformation, they need to plan effective business strategies and align their goals with their industry’s characteristics. ? 2025 The Authors. Published by IASE.",Accounting systems; Business strategy; Digital technology; Digital transformation; Financial performance,
2215,"Shariatifar, Mehrdad (57212197271); Rizi, Mohammadsadegh Salimian (59937536800); Sotudeh-Gharebagh, Rahmat (6602269238); Zarghami, Reza (9233602900); Mostoufi, Navid (6603074290)",On digital twins in bioprocessing: Opportunities and limitations,2025,10.1016/j.procbio.2025.05.023,"Integrating Digital Twins (DTs) in bioprocessing has become a prominent focus within the industry. Despite the challenges associated with implementing this technology in the field, the bioprocessing sector is interested in utilizing it. This is due to its potential to enhance process efficiency and overall profitability. The adoption of DTs is driven by the prospect of online monitoring, control, and optimization, enabling the products with precise and desired characteristics. To realize this objective, researchers propose a novel strategy for implementing DTs in bioprocessing. This involves the development of a hybrid model that combines first principal models and Machine Learning (ML) algorithms. This approach effectively addresses the limitations of previous methods and establishes a closed control loop system, continuously monitoring the system and adjusting input variables to achieve optimal outcomes. This study comprehensively explores various aspects of DTs. Firstly, it discusses the concept and characteristics of DTs, along with an examination of the advantages and challenges associated with their implementation. Secondly, it comprehensively analyzes key factors that directly influence DT implementation, including sensors, data collection, and models. Thirdly, it reviews the implications of Digital Solutions (DS) and DT in downstream and upstream bioprocessing. By providing theories, case studies, and practical frameworks, this work seeks to motivate both researchers and industry practitioners to adopt DT methodologies, thereby facilitating the emergence of enhanced precision, operational efficiency, and economic viability within biomanufacturing. ? 2025 Elsevier Ltd",Bioprocessing; Digital solutions; Digital twins; Industry 4.0; Realtime monitoring,Bioprocessing; Control and optimization; Digital solutions; Monitoring control; Monitoring optimizations; On-line controls; Online monitoring; Online optimization; Process efficiency; Real time monitoring
2216,"Plevnik, Mihael (54394059300); Gumzej, Roman (6505983748)",Open Source as the Foundation of Safety and Security in Logistics Digital Transformation,2025,10.3390/systems13060424,"In this article, we explored how open-source software serves as a strategic enabler for safety and security in the digital transformation of logistics systems. Open source is examined across multiple dimensions, including transparency, community collaboration, digital sovereignty, and long-term infrastructure resilience. The analysis focuses on the logistics domain, where interoperability, critical infrastructure protection, and supply chain continuity are essential. Key elements of open-source development—such as modular architectures, legal and licensing frameworks, and peer-reviewed codebases—support rapid vulnerability management, increased transparency, and the creation of sustainable digital ecosystems. Emphasis is placed on the role of open-source models in strengthening institutional trust, reducing dependency on proprietary vendors, and enhancing responsiveness to cyber threats. Our findings indicate that open source is not merely a technical alternative, but a strategic decision with legal, economic, and political implications, shaping secure, sovereign, and adaptive digital environments—particularly in mission-critical sectors. ? 2025 by the authors.",digital transformation; logistics; open-source software; safety; security,Ecosystems; Interoperability; Laws and legislation; Open source software; Public works; Safety engineering; Supply chains; Transparency; Critical infrastructure protection; Digital transformation; Infrastructure resiliences; Key elements; Logistics system; Multiple dimensions; Open-source; Open-source softwares; Safety and securities; Security; Logistics
2217,"Ruan, Jiaolong (59965320000); Satjawathee, Theeralak (55324541100); Awirothananon, Thatphong (35174328700)","The Impact of Digital Technology on Tourism Economic Growth: Empirical Analysis Based on Provincial Panel Data, 2010–2022",2025,10.3390/tourhosp6020073,"Through empirical analysis, this paper uses panel data from 30 provinces in China (excluding Hong Kong, Macao, and Taiwan, as well as Tibet) from 2010 to 2022 to explore in-depth and empirically test the relationship between the impact of digitalization technology on tourism economic growth and the intrinsic mechanism of its action. The results found that: first, digital technology has a significant impact on tourism economic growth, and second, digital technology has a significant impact on tourism economic growth. Significant promotional utility and, secondly, tourism industry efficiency, play a partial mediating role in the relationship between digital technology and tourism economic growth, i.e., digital technology can promote tourism economic growth by positively affecting tourism industry efficiency. This paper also reveals the role of digital technology in promoting the efficient development of the tourism industry, including the optimal allocation of resources and the improvement of service efficiency, which in turn promotes the innovative development of the tourism economy. Finally, in response to the challenges posed by digital transformation, suggestions are made to strengthen regulation and standardize the market order to ensure the sustainable and high-quality development of the tourism industry. ? 2025 by the authors.",digital technologies; sustainable development; tourism development; tourism economy; tourism industry efficiency,
2218,"Wang, Jinli (58112853300); Wen, Jun (57201061212); Lin, Jie (60041077900); Li, Xingqun (59753972600)",Spatiotemporal Evolution and Driving Factors of Agricultural Digital Transformation in China,2025,10.3390/agriculture15151600,"With the digital economy continuing to integrate deeply into the agricultural sector, agricultural digital transformation has emerged as a pivotal driver of rural revitalization and the development of a robust agricultural economy. Although existing studies have affirmed the positive role of agricultural digital transformation in promoting rural development and enhancing agricultural efficiency, its spatiotemporal evolution patterns, regional disparities, and underlying driving factors have not yet been systematically and thoroughly investigated. This study seeks to fill that gap. Based on provincial panel data from China spanning 2011 to 2023, this study employs the Theil index, kernel density estimation, Moran’s index, and quantile regression to systematically assess the spatiotemporal dynamics and driving factors of agricultural digital transformation at both national and regional levels. The results reveal a steady overall improvement in agricultural digital transformation, yet regional development imbalances remain prominent, with a shift from inter-regional disparities to intra-regional disparities over time. The four major regions exhibit a stratified evolutionary trajectory marked by internal differentiation: the eastern region retains its lead, while central and western regions show potential for catch-up, and the northeastern region faces a “balance trap.” Economic development foundation, human capital quality, and policy environment support are identified as the core driving forces of transformation, while other factors demonstrate pronounced regional and phase-specific variability. This study not only deepens theoretical understanding of the uneven development and driving logic of agricultural digital transformation but also provides empirical evidence to support policy optimization and promote more balanced and sustainable development in the agricultural sector. ? 2025 by the authors.",agricultural digital transformation; driving factors; regional development; spatiotemporal evolution characteristics,China; human capital; optimization; panel data; regional development; rural development; spatiotemporal analysis; sustainable development; trajectory; transformation; uneven development
2219,"Ngo, Anh-Tin (57254504800)",Entrepreneurship and innovation in business economics: A global bibliometric analysis from 2015 to 2024,2025,10.22144/ctujoisd.2025.042,"This study systematically examines global research trends on entrepreneurship and innovation in business economics. A dataset of 858 publications indexed on Web of Science from 2015 to 2024 was analyzed. The methodology applies Microsoft Excel for statistical aggregation and CiteSpace for citation network and keyword clustering analysis. Key findings reveal a steady annual increase in publications, with the United States leading both in output (215 publications) and academic influence (H-index 43). Core research fields include Management, Business, and Economics, with emerging topics such as entrepreneurial ecosystems, digital transformation, and open innovation. Policy and managerial implications suggest fostering comprehensive entrepreneurial ecosystems, strengthening corporate–startup collaborations, encouraging business model innovation through digital transformation, and aligning entrepreneurship strategies with the Sustainable Development Goals (SDGs) to promote sustainable and inclusive economic growth. ? 2025, Can Tho University. All rights reserved.",Bibliometric; business economics; entrepreneurial ecosystem; innovation; open innovation,
2220,"Wang, Deli (58020052800); Liu, Xiaoyuan (59090461300); Hu, Shiyang (57205564661); Wu, Shangrui (59154783900)",The value of digital government transformation: Evidence from R&D subsidy efficiency in China,2025,10.1016/j.irfa.2025.104106,"Exploiting a quasi-natural experiment in China in which the Big Data Administration was established in various cities across different times (i.e., pilot cities), we explore the role that digital government transformation plays in curbing firms' R&D manipulation activities. We rely on a staggered difference-in-differences research design and find that firms located in pilot cities significantly reduce the magnitude of their R&D manipulation from the pre- to the post- digital government transformation period, compared to firms located in nonpilot cities during the same time frame. Our analysis shows that digital government transformation mitigates R&D manipulation by strengthening government regulatory powers and normalizing corporate R&D practices. Additionally, we find that this impact is more pronounced in non-state-owned enterprises, manufacturing companies, smaller businesses, and those with less rigorous external oversight. Moreover, we identify a regulatory effect similar to “poverty alleviation” in China, where digital governance has a more substantial impact on R&D manipulation in economically developed areas. Our results also demonstrate that digital government transformation significantly improves the efficiency of governmental R&D subsidies and the quality of firms' innovation outputs. Collectively, these findings indicate that digital transformation can amplify the effectiveness of industrial policies. Our study, therefore, contributes to the literature by offering theoretical perspectives and vital microeconomic evidence on how to optimize subsidy efficiency through the rapid development of big data and other cutting-edge digital technologies. ? 2025 Elsevier Inc.",Digital government transformation; Industrial policy; R&D manipulation; R&D subsidy efficiency,
2221,"Ibraimova, Saule (57195713509); Assainov, Arhkat (60039774500); Bayadilova, Bakyt (57216368411); Begentayev, Meiram (54950223200); Kunyazova, Saule (57190215854)",The role of digital platforms in regulating the cyclicality of agricultural markets in Kazakhstan,2025,10.48077/scihor7.2025.149,"The purpose of this study was to substantiate the potential of using digital platforms to reduce the cyclicality of agricultural markets in Kazakhstan in the context of the modern transformation of agricultural production. The study used an applied analytical approach covering the period 2020-2024. The economic essence of the cyclical nature of agricultural markets was analysed, the regulatory framework for the management of the agro-industrial complex was investigated, and an empirical study of the East Kazakhstan and Akmola regions was conducted. In particular, in 2022, the gross volume of agricultural production in the Akmola region reached KZT 976.6 billion, which is 18.6% more than the previous year. In 2024, crop production dominated the region (up to 75% of production), while animal husbandry prevailed in East Kazakhstan (up to 60%). Investment programs were analysed, including the implementation of more than 670 projects with a total value of KZT 3.3 trillion by 2027, as well as the implementation of microcredit under the “Auyl Amanaty” program in the amount of KZT 100.5 billion. Particular attention was paid to the assessment of key digital platforms: Ger Inspector, Qoldau.kz, GeoPard, AgriSupp, which contributed to the reduction of information asymmetry, automation of subsidies, climate risk analysis, and production planning. The practical significance of the study lies in the possibility of using its results to develop regional strategies for the digital transformation of the agricultural sector in order to stabilise markets and strengthen food security. ? The Author(s).",farming; market fluctuation; prices; sustainable development; technologies,
2222,"Loukis, Euripidis (35581752800); Kavallari, Chryso (59999271800)",An Empirical Investigation of the Effects of Economic Crisis on the Digital Transformation of Public Welfare - Some Unexpected Findings,2025,10.1145/3719296,"Economic crises are occurring with increasing frequency and duration in modern economies. They negatively affect both private and public sector organizations, but sometimes they can have some positive effects as well. However, the effects of economic crises with respect to the digitalization and digital transformation activities and aspects of organizations have been empirically investigated to a very limited extent, and only for private sector organizations. This study contributes to filling this research gap by empirically investigating the effects of economic crises on the digital transformation activities of the public organizations that perform one of the most critical functions of the modern state: public welfare. For this purpose, we have constructed a research model, based on the “Resource-based View” of the firm, and a comprehensive conceptualization of government digital transformation, as theoretical foundations. Our study has been conducted in Greece, a country hit by a strong economic crisis between 2010 and 2018. It has been concluded that this economic crisis resulted in a serious decrease of the ICT-related investment and operating expenses of the examined public welfare organizations. However, at the same time the economic crisis has unexpectedly led to a significant increase of digital transformation developments in these critical organizations, and a significant advancement in significant aspects of their digital transformation. ? 2025 Copyright held by the owner/author(s)",capabilities; Digital transformation; economic crisis; health; resource-based view; resources; social security; welfare,Economic analysis; Economic and social effects; Government data processing; Information management; Information use; Natural resources; Capability; Digital transformation; Economic crisis; Empirical investigation; Private sector organizations; Public welfare; Resource; Resource-based view; Social Security; Welfare; Investments
2223,"Cholidis, Dimitrios (59755895300); Sifakis, Nikolaos (57208086274); Chachalis, Alexandros (59985850900); Savvakis, Nikolaos (55090246500); Arampatzis, George (6602770319)","Energy Transition Framework for Nearly Zero-Energy Ports: HRES Planning, Storage Integration, and Implementation Roadmap",2025,10.3390/su17135971,"Ports are vital nodes in global trade networks but are also significant contributors to greenhouse gas emissions. Their transition toward sustainable, nearly zero-energy operations require comprehensive and structured strategies. This study proposes a practical and scalable framework to support the energy decarbonization of ports through the phased integration of hybrid renewable energy systems (HRES) and energy storage systems (ESS). Emphasizing a systems-level approach, the framework addresses key aspects such as energy demand assessment, resource potential evaluation, HRES configuration, and ESS sizing, while incorporating load characterization protocols and decision-making thresholds for technology deployment. Special consideration is given to economic performance, particularly the minimization of the Levelized Cost of Energy (LCOE), alongside efforts to meet energy autonomy and operational resilience targets. In parallel, the framework integrates digital tools, including smart grid infrastructure and digital shadow technologies, to enable real-time system monitoring, simulation, and long-term optimization. It also embeds mechanisms for regulatory compliance and continuous adaptation to evolving standards. To validate its applicability, the framework is demonstrated using a representative case study based on a generic port profile. The example illustrates the transition process from conventional energy models to a sustainable port ecosystem, confirming the framework’s potential as a decision-making tool for port authorities, engineers, and policymakers aiming to achieve effective, compliant, and future-proof energy transitions in maritime infrastructure. ? 2025 by the authors.",energy storage systems; energy transition roadmap; hybrid renewable energy systems; nearly zero-energy ports; port decarbonization; sustainability planning,alternative energy; energy planning; energy storage; global trade; greenhouse gas; policy making; smart grid
2224,"Antuanette Maravi Gaona, Gianella (59979283500); Arleth Arana Perez, Lucero (59979424900); David Corrales Otazú, Christian (59731504200)",Tax Administration Criteria on the Burden of Proof in ALADI Member Countries: A Systematic Review,2025,10.36941/jesr-2025-0121,"This study presents a systematic review of recent scientific literature (2019-2024) on the tax administration's criteria regarding the burden of proof in the member countries of the Latin American Integration Association (ALADI). Through rigorous methodological analysis following the PRISMA guidelines, we examined articles from five academic databases (Dialnet, Google Scholar, Redalyc, ProQuest and Scielo), identifying significant patterns, divergences, and emerging trends in this critical aspect of tax law. Our findings reveal substantial heterogeneity in the regulatory and interpretive criteria applied by tax administrations regarding the distribution and assessment of the evidentiary burden, despite shared conceptual foundations across regional tax systems. We identified three key dimensions that affect evidentiary criteria: institutional organization of tax administrations, levels of taxpayer education, and the accelerating digital transformation of tax procedures. Recent studies highlight the growing impact of electronic billing, data protection regulations, and artificial intelligence in redefining traditional paradigms of evidentiary management. The identified challenges include regulatory fragmentation, informational asymmetries between administrations and taxpayers, and insufficient specialization of tax professionals in evidentiary matters. Our research provides valuable information for policymakers, legal practitioners, and academics interested in tax harmonization within the ALADI framework, contributing to the development of more equitable, efficient, and legally secure tax systems in Latin America. We recommend harmonizing the laws on evidentiary criteria, strengthening tax education programs, developing specialized technological tools, and promoting further empirical research on the economic impact of evidentiary standards on regional trade and investment. ? 2025 Maravi Gaona et al.",ALADI; burden of proof; regional integration; systematic review; Tax administration; tax procedures,
2225,"Goldberg, Lynette R. (36105983500); Radford, Kylie (36967713500); Smith, Kate (55574237789); LoGiudice, Dina (6603469692); Poulos, Lauren (57661400100); Baldock, Dianne (57204014559); Andersen, Clair (56342511100); Charles, Janaya (59564265500); Canty, Alison J. (57204249093); Bessarab, Dawn (15729326500); Cartwright, Jade (26028774700); Hughson, Jo-anne (57189596495); Schmidt, Merete (57869154000); Evans, Jennifer (57202578683); Rivers, Caleb (58314999200); Spotswood, Jacqueline (59564372300); Vickers, James (7103183600)","Privileging the spirit, voices, and culture of Aboriginal and Torres Strait Islander peoples in dementia care: Education for non-Indigenous health care providers",2025,10.1016/j.ssmmh.2025.100395,"Purpose of research: Data show that many Aboriginal and Torres Strait Islander peoples experiencing dementia receive services at mainstream health organizations and from non-Indigenous health care providers. It is imperative that non-Indigenous health care providers are educated about culturally respectful and safe care for Aboriginal and Torres Strait Islander peoples with dementia. The purpose of this research was to partner with Aboriginal Elders to co-design and implement an online unit on culturally respectful and safe care to educate non-Indigenous health care providers. Principal results: Twelve Aboriginal Elders from four Australian states, along with state-based Aboriginal project officers, partnered with the national, interdisciplinary research team to co-create and co-deliver the 13-week unit. Elders formed a Governance Group to guide the research team and ensure the content, delivery and methods of assessment of the unit privileged the spirit, voices, and diverse cultures of Aboriginal and Torres Strait Islander peoples. A team of Aboriginal markers, including Elders and project officers, was established to evaluate students’ assessments. The unit commenced in late July 2024 with 375 students enrolled. Major conclusions: Comments from both Elders and students affirmed the importance of Elders' presence in the unit through their weekly zoom sessions with students and participation in evaluation of students' learnings. Elders’ guidance in the co-creation and co-delivery of the unit has been recognized at program, college and university levels. The unit is available nationally and internationally through the online Diploma of Dementia Care offered by the University of Tasmania, Australia. ? 2025",Aboriginal and Torres Strait Islander Health; Co-design; Cultural safety; Culturally respectful care; Dementia care; Online education,adult; aged; Article; cultural anthropology; cultural safety; data analysis; dementia; digital transformation; education; health care personnel; human; human experiment; indigenous people; interdisciplinary research; learning; lifestyle; Likert scale; parameters; self care; social media; spirit; thematic analysis; Torres Strait Islander; voice
2226,"He, Yun (58808611500); Li, Wei (57221639388); Tan, Xiaofen (56486666100); Sun, Yuchen (59379620300)","Economic policy uncertainty, digital transformation, and bank systemic risk",2025,10.1016/j.iref.2025.104309,"Using unbalanced panel data from 42 Chinese listed banks between 2010 and 2023, this study empirically investigates the effect of digital transformation on bank systemic risk under economic policy uncertainty. The results show that when the level of digital transformation is low, it amplifies the positive relationship between economic policy uncertainty and systemic risk. However, as digital transformation reaches a higher level, it mitigates the adverse impacts of this uncertainty on bank stability. This effect is more evident among national banks, banks with stronger innovation capacity, and those with higher liquidity creation efficiency. Mechanism analysis suggests that digital transformation primarily reduces systemic risk through improvements in banks’ operational efficiency and profitability, as well as by reducing interbank correlation risk. Based on these findings, the study recommends that banks accelerate digital transformation processes. It also advises regulators to implement differentiated strategies according to bank characteristics and support the integration of digital technologies in bank management to strengthen resilience against economic policy uncertainty. ? 2025",Bank systemic risk; Digital transformation; Economic policy uncertainty,
2227,"Zeng, Meiyu (60078695900); Abdullah, Zuraidah (57213449053); Cheah, Kenny S.L. (57193695246)","Pre-service Teachers' Digital Competence: A Systematic Review of Factors, Frameworks, and Global Patterns",2025,10.26803/ijlter.24.8.10,"The rapid digital transformation of global education systems has made enhancing the digital competence of pre-service teachers a fundamental objective of teacher education reform in many countries. This study employs the PRISMA protocol systematically review 28 empirical research articles published between 2021 and 2025. The literature was retrieved from three databases (Scopus, Web of Science, and ERIC), encompassing both developed and developing nations. This review aims to identify (1) the factors that affect pre-service teachers’ digital competence, (2) similarities and differences in the digital competence of pre-service teachers in different national contexts, and (3) the frameworks and instruments used in the selected articles. The findings reveal five major influencing dimensions: (1) training and curriculum practice support, (2) psychological and environmental support, (3) policy systems and resource environments, (4) legal ethics and digital literacy, and (5) individual characteristics. Although pre-service teachers in many countries often possess fundamental digital competencies, significant disparities are observed in ethical awareness, pedagogical integration, and critical thinking. DigCompEdu, TPACK, and several other frameworks are commonly employed for evaluation, each offering context-specific benefits. This study consolidates essential trends and regional variations in global research, identifies deficiencies in cross-cultural adaptability and the advancement of advanced digital competence, and offers valuable recommendations for enhancing teacher training programs and informing policy decisions. ? Authors.",Digital Competence; Digital transformation; Pre-service Teachers; PRISMA; Teacher Education,
2228,"Wang, Huan (59732812600); Ren, Ying (60157870500); Gao, Dashuai (57270944000); Wu, Juping (57270781500); Ma, Ruiling (60158544900)",The impact of extreme temperature shocks on enterprise digital transformation: Evidence from Chinese listed manufacturing companies,2025,10.36922/AJWEP025210166,"Global warming and extreme temperature shocks pose significant challenges to human societies. While much research focuses on the economic hazards of extreme temperatures, exploring proactive countermeasures holds greater research value. Utilizing daily meteorological data from prefecture-level cities in China and panel data from listed manufacturing companies (2011 – 2022), we constructed a city-level extreme temperature index in this study and employed a two-way fixed-effects model to empirically examine the impact of extreme temperatures on the digital transformation of manufacturing enterprises. The results revealed that extreme temperatures significantly predict digital transformation, a finding robust to various tests. Mechanism analysis indicated that extreme temperatures increase production costs and reduce efficiency, thereby accelerating digital transformation. Heterogeneity analysis further demonstrated that the effect is more pronounced in private enterprises, high-tech firms, and non-high-pollution industries, with a stronger impact observed in the eastern region of China. In addition, corporate environmental, social, and governance disclosure, executive rejuvenation, and digital infrastructure construction positively moderated this relationship, whereas the implementation of carbon trading policies partially weakened the effect. This study not only underscores the micro-level impacts of climate change but also provides valuable insights for enterprises seeking to mitigate the effects of extreme temperature events through digital transformation. ? 2025, AccScience Publishing. All rights reserved.",Climate change; Digital transformation; Extreme temperatures; Manufacturing companies,
2229,"Kabashkin, Igor (6602318373)",Development of Digital Training Twins in the Aircraft Maintenance Ecosystem,2025,10.3390/a18070411,"This paper presents an integrated digital training twin framework for adaptive aircraft maintenance education, combining real-time competence modeling, algorithmic orchestration, and cloud–edge deployment architectures. The proposed system dynamically evaluates learner skill gaps and assigns individualized training resources through a multi-objective optimization function that balances skill alignment, Bloom’s cognitive level, fidelity tier, and time efficiency. A modular orchestration engine incorporates reinforcement learning agents for policy refinement, federated learning for privacy-preserving skill analytics, and knowledge graph-based curriculum models for dependency management. Simulation results were conducted on the Pneumatic Systems training module. The system’s validation matrix provides full-cycle traceability of instructional decisions, supporting regulatory audit-readiness and institutional reporting. The digital training twin ecosystem offers a scalable, regulation-compliant, and data-driven solution for next-generation aviation maintenance training, with demonstrated operational efficiency, instructional precision, and extensibility for future expansion. ? 2025 by the author.",adaptive orchestration; aviation maintenance training; competence gap modeling; digital training twin; validation matrix,Cognitive systems; Digital twin; E-learning; Efficiency; Fighter aircraft; Intelligent agents; Learning systems; Maintenance; Matrix algebra; Multiobjective optimization; Personnel training; Reinforcement learning; Training aircraft; Adaptive orchestration; Aircraft maintenance; Aviation maintenance; Aviation maintenance training; Competence gap modeling; Digital training; Digital training twin; Gap model; Maintenance training; Validation matrix; Ecosystems
2230,"Dong, Dam Xuan (57218772253); Thu Huong, Nguyen Thi (60038791200); Bach, Nguyen Ngoc (57220072814); Ninh, Nguyen Quang (57191261702); Duyen, Bui Thi (57193344750); Dinh, Dam Xuan (58660350300)",Application of the Digital Twin for Condition Monitoring and Energy Management of Electrical Loads in Greenhouses,2025,10.48084/etasr.10467,"In recent years, the development and widespread implementation of energy-saving measures, combined with digital transformation, have increased significantly worldwide. Among digital technologies, Digital Twin (DT) technology is regarded as a potential solution in the agricultural sector. Real-time control of energy consumption and monitoring the operational status of electrical equipment in agricultural production on a digital platform help farmers optimize farming processes, paving the way for more efficient and sustainable farming methodologies. Additionally, DΤ technology, which creates virtual replicas of physical systems, holds significant potential for advancing agricultural practices. The objective of this article is to propose a DT model for managing real-time energy consumption of electrical loads within the agriculture domain and components of DT in smart agriculture. It assesses the impact of DT on crop monitoring, resource management, and precision agriculture, evaluates the economic and environmental benefits of DT adoption in agriculture, and addresses challenges associated with implementing DT technology in farming. The simulation results show that the DT model can help managers choose appropriate methods for managing energy consumption within electrical loads and effectively monitor the agricultural environment. ? by the authors.","agricultural energy; digital agriculture the need for fossil fuels [9]. On the other hand, RES; Digital Twins (DT); energy management; renewable energy; smart grid; Supervisory Control and Data Acquisition (SCADA)",
